CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
17811,MV_ACT,185,1,1
17811,IT_ACT,66D,1,1
7227,MV_ACT,185,1,1
21970,MV_ACT,184,1,1
36977,BNS,103,1,1
36977,IT_ACT,66D,1,1
22285,BNS,109,1,1
7946,BNS,310,1,1
21271,BNS,310,1,1
21271,NDPS,20,1,1
30973,IT_ACT,67,1,1
30973,MV_ACT,185,1,1
25722,NDPS,22,1,1
25722,IT_ACT,66D,1,1
15104,IT_ACT,66D,1,1
6412,IT_ACT,66C,1,1
916,MV_ACT,184,1,1
916,BNS,103,1,1
32897,MV_ACT,185,1,1
12887,MV_ACT,184,1,1
12887,IT_ACT,67,1,1
12880,BNS,310,1,1
22254,IT_ACT,66C,1,1
5533,MV_ACT,184,1,1
5533,MV_ACT,185,1,1
6965,MV_ACT,185,1,1
9385,NDPS,20,1,1
400,MV_ACT,185,1,1
400,MV_ACT,185,1,1
17770,IT_ACT,66C,1,1
39347,MV_ACT,185,1,1
1183,BNS,103,1,1
19041,MV_ACT,185,1,1
19041,IT_ACT,66C,1,1
16679,BNS,115,1,1
4378,MV_ACT,185,1,1
2515,IT_ACT,67,1,1
25412,NDPS,22,1,1
4213,MV_ACT,185,1,1
6543,NDPS,21,1,1
15398,NDPS,21,1,1
34547,BNS,115,1,1
27950,IT_ACT,66D,1,1
15961,MV_ACT,184,1,1
15961,NDPS,22,1,1
32751,MV_ACT,184,1,1
32751,MV_ACT,184,1,1
24003,MV_ACT,184,1,1
24003,BNS,103,1,1
24439,MV_ACT,184,1,1
30621,IT_ACT,67,1,1
30621,BNS,115,1,1
39420,IT_ACT,66D,1,1
39420,BNS,109,1,1
2028,NDPS,21,1,1
2028,MV_ACT,184,1,1
22190,NDPS,21,1,1
33355,MV_ACT,185,1,1
16714,MV_ACT,184,1,1
16714,IT_ACT,66C,1,1
20594,NDPS,20,1,1
34182,BNS,103,1,1
19778,IT_ACT,66D,1,1
19778,BNS,115,1,1
19107,BNS,115,1,1
12002,NDPS,22,1,1
30534,BNS,310,1,1
21649,BNS,310,1,1
21649,NDPS,20,1,1
896,MV_ACT,185,1,1
34083,NDPS,21,1,1
32538,BNS,310,1,1
17794,BNS,303,1,1
11488,MV_ACT,184,1,1
21301,NDPS,22,1,1
21301,IT_ACT,67,1,1
17253,BNS,109,1,1
21732,IT_ACT,66C,1,1
