ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateID,ArrestSurrenderDistrictID,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,17811,Arrest,29-11-2023,1,6,278,1450,346,1,1,0
2,21970,Arrest,19-09-2025,1,6,278,456,345,3,1,0
3,7946,Surrender,27-03-2023,1,6,278,485,345,9,1,0
4,21271,Surrender,21-02-2024,1,6,278,215,345,10,1,0
5,30973,Arrest,06-05-2024,1,6,278,897,21,12,1,0
6,6412,Arrest,27-08-2025,1,6,278,1325,346,18,1,0
7,916,Surrender,27-12-2025,1,6,278,374,346,19,1,0
8,22254,Surrender,17-01-2024,1,6,278,1193,353,25,1,0
9,5533,Surrender,24-05-2024,1,6,278,1017,346,26,1,0
10,6965,Surrender,08-05-2025,1,6,278,832,19,27,1,0
11,16679,Surrender,15-09-2024,1,6,278,1099,21,37,1,0
12,2515,Arrest,03-12-2024,1,6,278,725,351,39,1,0
13,4213,Surrender,15-06-2025,1,6,278,678,20,41,1,0
14,15398,Surrender,03-08-2025,1,6,278,956,20,43,1,0
15,32751,Arrest,23-10-2024,1,6,279,66,349,48,1,0
16,24439,Arrest,22-01-2026,1,6,279,1104,349,53,1,0
17,39420,Surrender,02-03-2023,1,6,279,1355,19,56,1,0
18,2028,Surrender,29-03-2023,1,6,279,35,21,58,1,0
19,16714,Surrender,27-10-2023,1,6,279,203,346,62,1,0
20,20594,Surrender,09-12-2023,1,6,279,520,348,64,1,0
21,34182,Arrest,28-02-2025,1,6,279,1257,20,66,1,0
22,19778,Arrest,09-04-2025,1,6,279,682,352,67,1,0
23,19107,Surrender,02-05-2025,1,6,279,579,348,69,1,0
24,896,Surrender,07-11-2023,1,6,279,464,21,74,1,0
25,34083,Surrender,11-03-2024,1,6,279,731,19,75,1,0
26,32538,Surrender,10-05-2024,1,6,279,155,352,78,1,0
27,11488,Surrender,29-05-2025,1,6,279,898,349,80,1,0
28,17253,Surrender,24-09-2025,1,6,279,137,349,83,1,0
29,32336,Arrest,16-08-2023,1,6,279,6,353,86,1,0
30,29710,Arrest,25-06-2024,1,6,279,1300,19,89,1,0
31,7844,Arrest,23-05-2025,1,6,279,859,350,90,1,0
32,25100,Surrender,28-08-2024,1,6,280,610,349,93,1,0
33,25100,Surrender,02-09-2024,1,6,280,108,349,94,1,0
34,35916,Surrender,14-01-2025,1,6,280,1379,348,95,1,0
35,25341,Surrender,15-04-2025,1,6,280,492,21,98,1,0
36,1265,Arrest,25-05-2025,1,6,280,452,353,99,1,0
37,33756,Surrender,12-03-2023,1,6,280,1280,346,101,1,0
38,39028,Surrender,05-12-2023,1,6,280,148,19,104,1,0
39,30327,Surrender,05-12-2024,1,6,280,1307,353,106,1,0
40,30327,Arrest,23-12-2024,1,6,280,590,353,107,1,0
41,14081,Arrest,24-07-2025,1,6,280,980,351,111,1,0
42,37261,Arrest,30-08-2025,1,6,280,1461,348,112,1,0
43,28828,Arrest,29-03-2023,1,6,280,1454,350,120,1,0
44,18498,Arrest,27-07-2024,1,6,280,113,19,126,1,0
45,14203,Arrest,16-07-2025,1,6,280,529,346,129,1,0
46,14203,Surrender,26-07-2025,1,6,280,910,346,130,1,0
47,18460,Arrest,29-03-2023,1,6,280,548,346,134,1,0
48,17776,Arrest,06-11-2023,1,6,280,267,20,138,1,0
49,17776,Arrest,25-11-2023,1,6,280,525,20,139,1,0
50,29786,Arrest,02-08-2024,1,6,280,1020,346,141,1,0
51,6475,Arrest,23-01-2026,1,6,280,248,346,144,1,0
52,6475,Surrender,18-01-2026,1,6,280,1351,346,145,1,0
53,3670,Arrest,03-09-2023,1,6,281,986,20,148,1,0
54,14950,Surrender,15-09-2023,1,6,281,1357,346,152,1,0
55,35587,Arrest,05-02-2024,1,6,281,1301,345,153,1,0
56,8282,Arrest,11-08-2024,1,6,281,985,347,154,1,0
57,37030,Surrender,16-10-2024,1,6,281,833,347,156,1,0
58,20901,Surrender,03-10-2024,1,6,281,1204,19,157,1,0
59,20901,Arrest,02-10-2024,1,6,281,601,19,158,1,0
60,6924,Surrender,24-11-2024,1,6,281,920,350,159,1,0
61,16549,Surrender,01-12-2024,1,6,281,981,346,162,1,0
62,18750,Surrender,11-01-2025,1,6,281,74,351,163,1,0
63,18750,Arrest,11-01-2025,1,6,281,786,351,164,1,0
64,11848,Arrest,25-02-2025,1,6,281,645,348,165,1,0
65,32391,Surrender,19-06-2025,1,6,281,897,20,167,1,0
66,19259,Arrest,02-07-2025,1,6,281,527,348,168,1,0
67,31561,Arrest,12-07-2025,1,6,281,464,351,169,1,0
68,31561,Surrender,02-08-2025,1,6,281,1415,351,170,1,0
69,25706,Arrest,12-06-2023,1,6,281,115,346,173,1,0
70,21299,Surrender,10-07-2023,1,6,281,1271,345,175,1,0
71,6938,Surrender,29-07-2023,1,6,281,284,352,177,1,0
72,11834,Arrest,22-09-2023,1,6,281,825,346,178,1,0
73,32678,Surrender,10-12-2023,1,6,281,144,21,180,1,0
74,32678,Surrender,15-12-2023,1,6,281,366,21,181,1,0
75,20324,Surrender,07-04-2024,1,6,281,234,19,182,1,0
76,20324,Arrest,28-04-2024,1,6,281,829,19,183,1,0
77,3876,Surrender,05-10-2024,1,6,281,1068,21,184,1,0
78,34926,Arrest,27-11-2024,1,6,281,1335,19,187,1,0
79,13104,Surrender,26-11-2025,1,6,281,905,20,190,1,0
80,33106,Arrest,04-03-2024,1,6,281,4,352,193,1,0
81,10002,Arrest,14-08-2024,1,6,281,74,21,194,1,0
82,10002,Arrest,10-08-2024,1,6,281,589,21,195,1,0
83,35749,Arrest,26-11-2024,1,6,281,949,348,197,1,0
84,7039,Surrender,27-11-2025,1,6,281,608,345,200,1,0
85,21286,Arrest,19-02-2023,1,6,281,241,19,202,1,0
86,10041,Arrest,23-04-2025,1,6,281,340,20,207,1,0
87,37338,Surrender,01-11-2025,1,6,281,800,20,208,1,0
88,34257,Arrest,05-02-2023,1,6,282,176,348,212,1,0
89,6378,Arrest,12-09-2023,1,6,282,1330,19,215,1,0
90,6378,Arrest,25-09-2023,1,6,282,506,19,216,1,0
91,4485,Arrest,30-10-2023,1,6,282,125,347,217,1,0
92,35802,Surrender,30-01-2024,1,6,282,1183,19,221,1,0
93,32272,Arrest,29-08-2025,1,6,282,1177,345,224,1,0
94,36449,Surrender,03-09-2025,1,6,282,319,348,227,1,0
95,24039,Arrest,12-04-2023,1,6,282,141,349,230,1,0
96,22249,Arrest,20-10-2023,1,6,282,1035,349,234,1,0
97,7321,Arrest,30-01-2024,1,6,282,441,20,235,1,0
98,20743,Surrender,01-04-2024,1,6,282,320,351,238,1,0
99,20743,Arrest,23-03-2024,1,6,282,1347,351,239,1,0
100,5335,Arrest,25-05-2024,1,6,282,263,348,242,1,0
101,28511,Surrender,14-09-2024,1,6,282,1102,346,245,1,0
102,5945,Surrender,20-10-2024,1,6,282,989,346,246,1,0
103,25788,Surrender,30-11-2024,1,6,282,712,349,248,1,0
104,20795,Arrest,22-03-2023,1,6,282,53,19,253,1,0
105,23887,Arrest,29-03-2023,1,6,282,1465,19,254,1,0
106,23887,Arrest,17-03-2023,1,6,282,827,19,255,1,0
107,19215,Surrender,08-11-2023,1,6,282,920,345,257,1,0
108,7993,Surrender,19-11-2024,1,6,282,886,351,262,1,0
109,22695,Surrender,24-11-2024,1,6,282,1448,351,266,1,0
110,33983,Arrest,06-12-2024,1,6,282,4,347,268,1,0
111,33603,Surrender,16-01-2025,1,6,282,297,20,270,1,0
112,35334,Arrest,15-05-2025,1,6,282,581,349,271,1,0
113,38409,Surrender,05-10-2024,1,6,282,945,19,279,1,0
114,17233,Arrest,07-01-2024,1,6,283,777,19,286,1,0
115,19410,Surrender,15-03-2024,1,6,283,753,349,289,1,0
116,23644,Arrest,05-07-2025,1,6,283,1274,19,299,1,0
117,30218,Surrender,25-01-2023,1,6,283,115,345,300,1,0
118,7416,Arrest,16-06-2023,1,6,283,875,19,307,1,0
119,23297,Surrender,28-02-2024,1,6,283,747,345,308,1,0
120,23297,Surrender,18-02-2024,1,6,283,1033,345,309,1,0
121,23491,Arrest,07-07-2024,1,6,283,302,349,310,1,0
122,23491,Arrest,28-06-2024,1,6,283,1441,349,311,1,0
123,21945,Surrender,24-01-2025,1,6,283,1095,346,316,1,0
124,25441,Arrest,12-05-2025,1,6,283,682,345,317,1,0
125,29745,Arrest,17-09-2025,1,6,283,368,347,319,1,0
126,32578,Arrest,29-11-2025,1,6,283,1272,19,320,1,0
127,19898,Surrender,06-06-2024,1,6,283,160,19,324,1,0
128,34237,Arrest,23-06-2025,1,6,283,29,21,328,1,0
129,2170,Surrender,26-08-2023,1,6,283,1200,348,331,1,0
130,14237,Arrest,26-01-2024,1,6,283,32,348,333,1,0
131,14237,Arrest,19-02-2024,1,6,283,122,348,334,1,0
132,28322,Surrender,19-05-2025,1,6,283,574,346,338,1,0
133,28322,Arrest,26-05-2025,1,6,283,101,346,339,1,0
134,8421,Arrest,16-01-2024,1,6,284,42,348,343,1,0
135,32518,Arrest,04-02-2024,1,6,284,972,21,352,1,0
136,37260,Surrender,11-12-2025,1,6,284,422,20,357,1,0
137,35085,Arrest,13-06-2024,1,6,284,1427,21,366,1,0
138,35085,Surrender,05-06-2024,1,6,284,1209,21,367,1,0
139,25367,Arrest,29-10-2023,1,6,284,1098,19,371,1,0
140,14200,Surrender,10-10-2024,1,6,284,957,345,373,1,0
141,34698,Surrender,14-07-2025,1,6,284,841,353,376,1,0
142,32740,Arrest,06-05-2023,1,6,285,1280,19,379,1,0
143,9064,Surrender,06-07-2023,1,6,285,782,346,380,1,0
144,13569,Surrender,26-10-2025,1,6,285,586,21,389,1,0
145,28639,Arrest,25-06-2023,1,6,285,1341,19,391,1,0
146,31696,Surrender,13-09-2024,1,6,285,84,346,395,1,0
147,25352,Surrender,11-08-2025,1,6,285,1205,345,397,1,0
148,34332,Arrest,26-11-2025,1,6,285,1011,19,400,1,0
149,29077,Surrender,04-10-2023,1,6,285,688,350,402,1,0
150,39273,Surrender,17-01-2024,1,6,285,408,20,404,1,0
151,23733,Surrender,20-02-2024,1,6,285,687,351,405,1,0
152,23733,Surrender,10-02-2024,1,6,285,196,351,406,1,0
153,2394,Surrender,12-03-2025,1,6,285,1446,346,411,1,0
154,2300,Arrest,27-03-2025,1,6,285,219,345,412,1,0
155,33514,Surrender,10-05-2023,1,6,285,408,352,413,1,0
156,33514,Surrender,20-05-2023,1,6,285,189,352,414,1,0
157,395,Surrender,03-07-2023,1,6,285,595,353,416,1,0
158,37217,Arrest,25-09-2023,1,6,285,205,21,418,1,0
159,20391,Arrest,01-02-2024,1,6,285,1031,347,421,1,0
160,37547,Surrender,03-11-2024,1,6,285,70,352,431,1,0
161,25501,Surrender,17-05-2025,1,6,285,863,346,432,1,0
162,20845,Arrest,28-08-2025,1,6,285,553,349,434,1,0
163,24993,Arrest,03-06-2024,1,6,286,461,345,439,1,0
164,24993,Surrender,22-05-2024,1,6,286,347,345,440,1,0
165,26594,Surrender,08-09-2024,1,6,286,1026,346,442,1,0
166,19648,Surrender,28-09-2024,1,6,286,692,353,444,1,0
167,10315,Arrest,20-10-2024,1,6,286,836,20,445,1,0
168,20791,Surrender,04-04-2025,1,6,286,481,19,446,1,0
169,14465,Arrest,30-04-2025,1,6,286,439,352,447,1,0
170,13779,Surrender,25-02-2023,1,6,286,630,21,451,1,0
171,35537,Arrest,15-03-2023,1,6,286,1189,350,452,1,0
172,1587,Surrender,08-06-2023,1,6,286,719,21,453,1,0
173,20329,Arrest,15-06-2024,1,6,286,455,350,457,1,0
174,1662,Surrender,27-05-2023,1,6,286,582,21,460,1,0
175,7051,Arrest,08-04-2024,1,6,286,510,350,461,1,0
176,27419,Arrest,13-01-2025,1,6,286,1415,346,464,1,0
177,19368,Surrender,11-04-2025,1,6,286,1316,352,465,1,0
178,28563,Arrest,29-12-2023,1,6,286,260,347,471,1,0
179,28563,Surrender,21-12-2023,1,6,286,340,347,472,1,0
180,27362,Surrender,11-09-2023,1,6,287,1235,21,480,1,0
181,8963,Arrest,13-04-2024,1,6,287,1429,350,483,1,0
182,31275,Arrest,26-03-2024,1,6,287,937,21,484,1,0
183,13162,Arrest,19-09-2024,1,6,287,1356,20,486,1,0
184,3683,Surrender,27-10-2024,1,6,287,1026,353,487,1,0
185,17453,Surrender,14-09-2025,1,6,287,1426,351,494,1,0
186,15998,Arrest,03-01-2026,1,6,287,755,346,495,1,0
187,36650,Arrest,11-05-2023,1,6,287,1152,352,497,1,0
188,27968,Arrest,07-09-2023,1,6,287,1171,351,500,1,0
189,32539,Arrest,26-09-2023,1,6,287,666,349,501,1,0
190,32539,Surrender,30-09-2023,1,6,287,230,349,502,1,0
191,31548,Arrest,16-01-2024,1,6,287,962,21,504,1,0
192,23612,Arrest,29-04-2024,1,6,287,710,352,507,1,0
193,32213,Arrest,24-11-2024,1,6,287,484,350,509,1,0
194,24023,Arrest,04-03-2025,1,6,287,534,349,511,1,0
195,29294,Surrender,17-03-2025,1,6,287,1283,346,512,1,0
196,10968,Surrender,26-04-2025,1,6,287,16,348,513,1,0
197,10968,Arrest,09-05-2025,1,6,287,240,348,514,1,0
198,10565,Surrender,25-08-2025,1,6,287,408,21,516,1,0
199,37654,Arrest,09-10-2025,1,6,287,745,351,517,1,0
200,37654,Arrest,14-10-2025,1,6,287,1428,351,518,1,0
201,34785,Surrender,29-06-2023,1,6,287,281,348,520,1,0
202,26717,Arrest,11-01-2024,1,6,287,1045,349,523,1,0
203,26717,Arrest,27-12-2023,1,6,287,900,349,524,1,0
204,30517,Arrest,08-11-2024,1,6,287,279,19,525,1,0
205,30517,Arrest,24-10-2024,1,6,287,130,19,526,1,0
206,17313,Arrest,24-02-2025,1,6,287,35,19,527,1,0
207,17256,Arrest,07-04-2025,1,6,287,9,20,530,1,0
208,14040,Surrender,26-05-2025,1,6,287,415,352,531,1,0
209,31775,Arrest,24-01-2024,1,6,287,1379,21,534,1,0
210,13508,Surrender,05-08-2024,1,6,287,219,349,536,1,0
211,35186,Surrender,19-08-2025,1,6,288,552,351,549,1,0
212,161,Surrender,12-08-2023,1,6,288,610,352,559,1,0
213,25982,Surrender,13-12-2023,1,6,288,698,21,562,1,0
214,25982,Arrest,08-12-2023,1,6,288,1033,21,563,1,0
215,24254,Surrender,30-07-2024,1,6,288,73,21,564,1,0
216,26475,Arrest,07-09-2024,1,6,288,1257,346,565,1,0
217,25879,Arrest,31-12-2024,1,6,288,1494,347,567,1,0
218,25879,Arrest,13-01-2025,1,6,288,1018,347,568,1,0
219,39235,Arrest,11-06-2025,1,6,288,1474,347,570,1,0
220,25910,Surrender,02-06-2023,1,6,288,1095,349,571,1,0
221,4876,Arrest,18-06-2023,1,6,288,931,345,572,1,0
222,14615,Surrender,07-08-2023,1,6,288,128,346,573,1,0
223,6665,Surrender,02-10-2023,1,6,288,805,19,574,1,0
224,31713,Arrest,06-01-2024,1,6,288,1222,349,576,1,0
225,27444,Arrest,09-05-2024,1,6,288,802,351,578,1,0
226,27444,Arrest,23-04-2024,1,6,288,1163,351,579,1,0
227,11261,Arrest,05-08-2024,1,6,288,981,351,582,1,0
228,10889,Arrest,04-09-2024,1,6,288,919,348,584,1,0
229,26227,Surrender,13-09-2024,1,6,288,702,20,585,1,0
230,39048,Surrender,18-12-2024,1,6,288,347,346,586,1,0
231,39048,Arrest,08-12-2024,1,6,288,1226,346,587,1,0
232,9809,Surrender,19-06-2025,1,6,288,977,353,591,1,0
233,11750,Surrender,10-03-2023,1,6,288,1016,20,592,1,0
234,897,Arrest,21-03-2024,1,6,288,185,347,598,1,0
235,28729,Arrest,05-01-2025,1,6,288,9,345,599,1,0
236,30710,Surrender,18-01-2025,1,6,288,798,349,600,1,0
237,13833,Arrest,26-02-2025,1,6,288,735,353,601,1,0
238,35624,Surrender,11-06-2025,1,6,288,937,348,602,1,0
239,29584,Surrender,10-10-2025,1,6,288,154,349,603,1,0
240,8023,Surrender,01-01-2024,1,6,289,339,345,608,1,0
241,8023,Surrender,06-01-2024,1,6,289,342,345,609,1,0
242,5540,Arrest,17-04-2025,1,6,289,33,350,613,1,0
243,22612,Arrest,20-02-2025,1,6,289,14,19,615,1,0
244,22612,Surrender,12-02-2025,1,6,289,1169,19,616,1,0
245,21038,Surrender,04-04-2025,1,6,289,796,347,617,1,0
246,22007,Surrender,29-01-2023,1,6,289,1239,347,619,1,0
247,19193,Surrender,26-08-2023,1,6,289,124,350,625,1,0
248,27772,Arrest,22-10-2024,1,6,289,442,349,626,1,0
249,27772,Surrender,25-10-2024,1,6,289,678,349,627,1,0
250,34035,Arrest,26-10-2024,1,6,289,474,345,628,1,0
251,24548,Arrest,02-02-2023,1,6,289,1478,353,631,1,0
252,4878,Surrender,19-07-2023,1,6,289,1056,19,632,1,0
253,26910,Surrender,19-03-2024,1,6,289,1142,345,634,1,0
254,3868,Arrest,29-10-2024,1,6,289,1251,349,635,1,0
255,20811,Surrender,25-09-2023,1,6,290,874,351,640,1,0
256,13545,Arrest,22-01-2025,1,6,290,1236,20,641,1,0
257,13545,Surrender,17-01-2025,1,6,290,1008,20,642,1,0
258,10680,Surrender,12-06-2025,1,6,290,184,347,644,1,0
259,7441,Arrest,26-07-2025,1,6,290,161,19,645,1,0
260,7441,Arrest,11-08-2025,1,6,290,781,19,646,1,0
261,34441,Arrest,25-05-2025,1,6,290,844,345,652,1,0
262,22717,Arrest,24-09-2025,1,6,290,1122,19,656,1,0
263,9271,Arrest,02-11-2025,1,6,290,1294,346,658,1,0
264,31062,Surrender,15-02-2023,1,6,290,922,350,663,1,0
265,26055,Surrender,30-10-2023,1,6,290,1342,345,664,1,0
266,6852,Surrender,09-06-2024,1,6,290,500,352,668,1,0
267,12023,Arrest,06-09-2025,1,6,290,277,349,669,1,0
268,36265,Surrender,10-01-2026,1,6,290,894,346,673,1,0
269,13223,Surrender,17-02-2023,1,6,290,687,20,675,1,0
270,37464,Surrender,06-03-2023,1,6,290,657,347,676,1,0
271,6832,Surrender,12-11-2025,1,6,290,1352,352,688,1,0
272,31295,Arrest,04-04-2023,1,6,291,1466,345,689,1,0
273,36541,Surrender,19-03-2024,1,6,291,1376,353,691,1,0
274,32128,Surrender,12-08-2025,1,6,291,1381,345,693,1,0
275,530,Arrest,08-10-2025,1,6,291,1261,346,694,1,0
276,19239,Surrender,03-03-2023,1,6,291,907,19,696,1,0
277,11526,Arrest,03-07-2023,1,6,291,283,352,698,1,0
278,11526,Arrest,01-07-2023,1,6,291,695,352,699,1,0
279,12107,Surrender,16-11-2023,1,6,291,240,352,700,1,0
280,15695,Arrest,14-06-2023,1,6,291,558,351,706,1,0
281,27830,Surrender,22-12-2023,1,6,291,721,347,709,1,0
282,7251,Arrest,11-12-2023,1,6,291,747,345,712,1,0
283,16302,Surrender,02-04-2024,1,6,291,67,351,714,1,0
284,25878,Surrender,24-04-2025,1,6,291,148,347,722,1,0
285,806,Arrest,29-07-2025,1,6,291,1313,349,724,1,0
286,1590,Arrest,21-09-2023,1,6,291,1234,353,725,1,0
287,6440,Arrest,05-03-2025,1,6,291,1117,353,732,1,0
288,13923,Arrest,21-01-2024,1,6,292,690,345,737,1,0
289,13923,Arrest,08-01-2024,1,6,292,745,345,738,1,0
290,8631,Arrest,05-02-2024,1,6,292,453,19,739,1,0
