Casemasterid,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
17811,1.00E+17,202300001,31-10-2023,1228,278,1,2,2,5,4,346,2023-10-30 00:54:00,2023-10-30 23:54:00,2023-10-31 07:54:00,17.921849,77.514837,Complainant reported theft of personal property from a residential colony.
7227,1.00E+17,202500001,05-09-2025,1278,278,1,2,2,5,2,347,2025-09-05 02:15:00,2025-09-04 07:15:00,2025-09-05 11:15:00,17.930663,77.531715,Complainant reported theft of personal property from the railway station area.
21970,1.00E+17,202500002,13-09-2025,458,278,1,1,1,2,2,345,2025-09-12 02:37:00,2025-09-12 12:37:00,2025-09-13 19:37:00,17.907566,77.523878,Complainant stated the accused attacked the victim with intent to kill near a commercial complex.
36977,1.00E+17,202500003,14-10-2025,404,278,1,2,2,5,2,21,2025-10-13 09:38:00,2025-10-14 03:38:00,2025-10-14 18:38:00,17.91651,77.527848,Complainant reported theft of personal property from the railway station area.
22285,1.00E+17,202500004,31-10-2025,1322,278,1,1,2,8,1,345,2025-10-31 18:18:00,2025-10-30 10:18:00,2025-10-31 22:18:00,17.900407,77.521023,Complainant reported being robbed at knife/gunpoint near the railway station area.
7946,3.00E+17,202300001,27-02-2023,301,278,2,1,2,8,2,345,2023-02-26 01:23:00,2023-02-26 23:23:00,2023-02-27 14:23:00,17.92064,77.496575,Complainant reported being robbed at knife/gunpoint near a residential street.
21271,3.00E+17,202400001,04-02-2024,404,278,2,1,1,1,2,345,2024-02-03 15:32:00,2024-02-03 12:32:00,2024-02-04 22:32:00,17.898223,77.49377,Complainant reported that the victim was found dead with injuries under suspicious circumstances near a highway stretch.
30973,3.00E+17,202400002,09-04-2024,1196,278,2,2,2,5,2,21,2024-04-07 23:53:00,2024-04-08 17:53:00,2024-04-09 08:53:00,17.907362,77.521337,Complainant reported theft of personal property from a commercial complex.
25722,3.00E+17,202400003,10-09-2024,1217,278,2,2,2,7,4,349,2024-09-10 15:09:00,2024-09-09 10:09:00,2024-09-10 17:09:00,17.92508,77.514903,Complainant reported that unknown persons broke into the premises at a highway stretch and stole valuables.
15104,3.00E+17,202500001,02-07-2025,20,278,2,2,2,6,1,351,2025-07-01 09:53:00,2025-07-01 11:53:00,2025-07-02 07:53:00,17.926342,77.500361,Complainant reported that the accused snatched a gold chain from the victim near the main market and fled on a two-wheeler.
6412,3.00E+17,202500002,31-07-2025,443,278,2,2,2,5,1,346,2025-07-31 21:19:00,2025-07-31 21:19:00,2025-07-31 23:19:00,17.893022,77.513607,Complainant reported theft of personal property from the main market.
916,3.00E+17,202500003,16-12-2025,1279,278,2,2,4,12,2,346,2025-12-15 14:17:00,2025-12-15 13:17:00,2025-12-16 16:17:00,17.913897,77.513835,Complainant reported losing money through a fraudulent online transaction.
32897,4.00E+17,202300001,15-03-2023,198,278,3,2,2,5,4,347,2023-03-14 15:56:00,2023-03-15 01:56:00,2023-03-15 01:56:00,17.889382,77.513271,Complainant reported theft of personal property from the main market.
12887,4.00E+17,202300002,18-03-2023,973,278,3,2,2,5,1,348,2023-03-17 13:57:00,2023-03-17 13:57:00,2023-03-18 22:57:00,17.897011,77.520859,Complainant reported theft of personal property from a commercial complex.
12880,4.00E+17,202400001,02-01-2024,1429,278,3,1,3,10,4,19,2024-01-02 11:57:00,2024-01-01 01:57:00,2024-01-02 15:57:00,17.913722,77.504763,Complainant reported ongoing harassment for dowry by the accused and family.
22254,4.00E+17,202400002,09-01-2024,383,278,3,2,2,5,2,353,2024-01-09 06:56:00,2024-01-09 06:56:00,2024-01-09 22:56:00,17.904917,77.50357,Complainant reported theft of personal property from the bus stand.
5533,4.00E+17,202400003,28-04-2024,755,278,3,2,2,6,1,346,2024-04-27 12:46:00,2024-04-28 10:46:00,2024-04-28 19:46:00,17.909429,77.523713,Complainant reported that the accused snatched a gold chain from the victim near a residential street and fled on a two-wheeler.
6965,4.00E+17,202500001,01-05-2025,828,278,3,1,1,2,1,19,2025-04-30 17:48:00,2025-04-30 09:48:00,2025-05-01 02:48:00,17.900199,77.519202,Complainant stated the accused attacked the victim with intent to kill near the main market.
9385,4.00E+17,202500002,14-10-2025,735,278,3,2,2,5,1,21,2025-10-13 22:55:00,2025-10-14 02:55:00,2025-10-14 16:55:00,17.904753,77.506233,Complainant reported theft of personal property from the railway station area.
400,8.00E+17,202300001,01-04-2023,240,278,4,2,5,15,1,351,2023-03-30 23:54:00,2023-04-01 15:54:00,2023-04-01 23:54:00,17.908986,77.50381,Complainant reported a violent altercation involving a large group near the bus stand.
17770,8.00E+17,202300002,08-06-2023,1059,278,4,2,2,7,3,20,2023-06-07 12:02:00,2023-06-07 16:02:00,2023-06-08 19:02:00,17.90452,77.502183,Complainant reported that unknown persons broke into the premises at a highway stretch and stole valuables.
39347,8.00E+17,202300003,26-12-2023,393,278,4,2,2,6,1,350,2023-12-26 14:52:00,2023-12-25 06:52:00,2023-12-26 16:52:00,17.929703,77.514515,Complainant reported that the accused snatched a gold chain from the victim near the main market and fled on a two-wheeler.
1183,8.00E+17,202400001,30-03-2024,264,278,4,2,2,6,4,347,2024-03-28 16:23:00,2024-03-29 06:23:00,2024-03-30 10:23:00,17.903059,77.516302,Complainant reported that the accused snatched a gold chain from the victim near a residential street and fled on a two-wheeler.
19041,8.00E+17,202400002,30-04-2024,1115,278,4,2,2,7,4,346,2024-04-29 16:04:00,2024-04-28 13:04:00,2024-04-30 02:04:00,17.908933,77.511952,Complainant reported that unknown persons broke into the premises at a residential colony and stole valuables.
