CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,7227,2025-12-04 11:15:53,A,952
2,21970,2026-01-02 19:37:40,A,948
3,36977,2025-12-25 18:38:27,A,1316
4,7946,2023-04-20 14:23:23,A,190
5,21271,2024-05-13 22:32:45,A,1490
6,30973,2024-05-09 08:53:07,A,827
7,916,2026-02-11 16:17:25,A,703
8,22254,2024-02-27 22:56:06,A,265
9,24003,2025-10-10 22:54:30,A,1341
10,24439,2026-03-21 08:12:11,A,1338
11,39420,2023-04-27 13:03:03,A,252
12,22190,2023-07-27 05:13:37,A,10
13,33355,2023-09-14 10:06:36,A,1299
14,16714,2023-12-11 04:20:52,A,674
15,20594,2024-03-12 17:42:20,A,85
16,34182,2025-03-28 13:23:48,A,190
17,1265,2025-09-08 23:17:20,A,42
18,14081,2025-10-22 06:16:28,A,265
19,32625,2023-11-05 09:11:01,A,339
20,15438,2023-11-10 23:40:46,A,1495
21,14203,2025-09-07 13:28:31,A,1359
22,35921,2026-02-19 00:12:01,A,1474
23,14806,2023-09-29 09:09:53,A,933
24,21536,2023-05-25 22:28:15,A,1182
25,36231,2023-06-19 03:48:39,A,629
26,37030,2024-11-23 03:46:21,A,315
27,16549,2025-01-08 18:05:39,A,661
28,21299,2023-08-26 20:56:48,A,760
29,6938,2023-10-07 13:48:40,A,447
30,3876,2024-12-31 10:48:26,A,1130
31,6715,2024-11-29 23:15:29,A,1203
32,13104,2026-02-05 16:22:14,A,806
33,7039,2025-12-16 22:46:03,A,1329
34,15943,2024-03-21 15:06:23,A,721
35,17463,2024-07-19 22:24:44,A,101
36,10041,2025-07-13 07:19:00,A,661
37,37338,2025-12-16 03:33:25,A,1354
38,7175,2023-10-12 04:23:42,A,1422
39,6378,2023-12-09 04:53:02,A,905
40,4485,2023-11-12 04:36:13,A,384
41,32272,2025-11-05 12:24:42,A,55
42,18614,2025-12-19 09:41:58,A,927
43,7321,2024-02-22 12:47:39,A,558
44,24929,2024-08-13 20:03:00,A,202
45,28511,2024-10-13 18:46:18,A,912
46,5945,2024-10-30 09:38:25,A,1085
47,25788,2025-02-01 11:59:21,A,1295
48,23887,2023-06-02 19:14:53,A,1343
49,33886,2023-06-28 16:56:11,A,708
50,27640,2024-11-20 04:19:47,A,783
51,20081,2025-04-24 16:54:44,A,198
52,21945,2025-04-13 03:11:31,A,875
53,25441,2025-07-02 13:10:23,A,234
