CourtID,CourtName,DistrictID,StateID,Active
1,"District & Sessions Court, Vijayapura (HQ), Vijayapura",30,1,1
2,"Family Court, Vijayapura (HQ), Vijayapura",30,1,1
3,"Labour Court, Vijayapura (HQ), Vijayapura",30,1,1
4,"Senior Civil Judge Court, Vijayapura (HQ), Vijayapura",30,1,1
5,"Principal Civil Judge Court, Vijayapura (HQ), Vijayapura",30,1,1
6,"Addl. Civil Judge & JMFC Court, Vijayapura (HQ), Vijayapura",30,1,1
7,"Civil Judge (Sr.Dn) Court, Indi, Vijayapura",30,1,1
8,"Civil Judge (Jr.Dn) & JMFC Court, Indi, Vijayapura",30,1,1
9,"Addl. Civil Judge Court, Indi, Vijayapura",30,1,1
10,"Civil Judge (Sr.Dn) Court, Sindagi, Vijayapura",30,1,1
11,"Civil Judge (Jr.Dn) & JMFC Court, Sindagi, Vijayapura",30,1,1
12,"Civil Judge (Sr.Dn) Court, Basavana Bagewadi, Vijayapura",30,1,1
13,"Civil Judge (Jr.Dn) & JMFC Court, Basavana Bagewadi, Vijayapura",30,1,1
14,"District & Sessions Court, Madikeri (HQ), Kodagu",18,1,1
15,"Civil Judge & JMFC Court, Somwarpet, Kodagu",18,1,1
16,"Senior Civil Judge & JMFC Court, Virajpet, Kodagu",18,1,1
17,"Civil Judge & JMFC Court, Virajpet, Kodagu",18,1,1
18,"Civil Judge & JMFC Court, Ponnampet (Virajpet taluk), Kodagu",18,1,1
19,"District & Sessions Court, Bidar (HQ), Bidar",6,1,1
20,"Senior Civil Judge & CJM Court, Bidar (HQ), Bidar",6,1,1
21,"Civil Judge & JMFC Court, Bidar (HQ), Bidar",6,1,1
22,"District & Sessions Court, Udupi (HQ), Udupi",27,1,1
23,"Family Court, Udupi (HQ), Udupi",27,1,1
24,"Senior Civil Judge & CJM Court, Udupi (HQ), Udupi",27,1,1
25,"Civil Judge & JMFC Court, Udupi (HQ), Udupi",27,1,1
26,"District & Sessions Court, Ramanagara (HQ), Ramanagara",24,1,1
27,"Senior Civil Judge & CJM Court, Ramanagara (HQ), Ramanagara",24,1,1
28,"Civil Judge & JMFC Court, Ramanagara (HQ), Ramanagara",24,1,1
29,"Civil Judge & JMFC Court, Channapatna, Ramanagara",24,1,1
30,"Senior Civil Judge & JMFC Court, Channapatna, Ramanagara",24,1,1
31,"Civil Judge & JMFC Court, Kanakapura, Ramanagara",24,1,1
32,"Civil Judge & JMFC Court, Magadi, Ramanagara",24,1,1
33,"Senior Civil Judge & JMFC Court, Magadi, Ramanagara",24,1,1
34,"District & Sessions Court, Anekal, Bengaluru Rural",4,1,1
35,"Senior Civil Judge Court, Anekal, Bengaluru Rural",4,1,1
