UnitID,UnitName,TypeID,ParentUnit,NationalityID,StateID,DistrictID,Active
1,Bidar District Police,2,,1,1,6,1
2,Vijayapura District Police,2,,1,1,30,1
3,Yadgir District Police,2,,1,1,31,1
4,Belagavi District Police,2,,1,1,3,1
5,Belagavi City Police Commissionerate,2,,1,1,3,1
6,Bagalkote District Police,2,,1,1,1,1
7,Raichur District Police,2,,1,1,23,1
8,Gadag District Police,2,,1,1,14,1
9,Dharwad District Police,2,,1,1,13,1
10,Hubballi–Dharwad City Police Commissionerate,2,,1,1,13,1
11,Uttara Kannada District Police,2,,1,1,28,1
12,Haveri District Police,2,,1,1,16,1
13,Vijayanagara District Police,2,,1,1,29,1
14,Ballari District Police,2,,1,1,2,1
15,Chitradurga District Police,2,,1,1,10,1
16,Davanagere District Police,2,,1,1,12,1
17,Shivamogga District Police,2,,1,1,25,1
18,Udupi District Police,2,,1,1,27,1
19,Dakshina Kannada District Police,2,,1,1,11,1
20,Mangaluru City Police Commissionerate,2,,1,1,11,1
21,Kodagu District Police,2,,1,1,18,1
22,Hassan District Police,2,,1,1,15,1
23,Mysuru District Police,2,,1,1,22,1
24,Mysuru City Police Commissionerate,2,,1,1,22,1
25,Chamarajanagar District Police,2,,1,1,7,1
26,Mandya District Police,2,,1,1,21,1
27,Tumakuru District Police,2,,1,1,26,1
28,Ramanagara District Police,2,,1,1,24,1
29,Chikkaballapura District Police,2,,1,1,8,1
30,Kolar District Police,2,,1,1,19,1
31,KGF Police District,2,,1,1,19,1
32,Bengaluru Rural District Police,2,,1,1,4,1
33,Bengaluru City Police Commissionerate,2,,1,1,5,1
34,Kalaburagi District Police,2,,1,1,17,1
35,Kalaburagi City Police Commissionerate,2,,1,1,17,1
36,Chikkamagaluru District Police,2,,1,1,9,1
37,Koppal District Police,2,,1,1,20,1
38,Ballari City Sub Division,3,14.0,1,1,2,1
39,Ballari Rural Sub Division,3,14.0,1,1,2,1
40,Toranagallu Sub Division,3,14.0,1,1,2,1
41,Athani Sub Division,3,4.0,1,1,3,1
42,Bailhongal Sub Division,3,4.0,1,1,3,1
43,Chikkodi Sub Division,3,4.0,1,1,3,1
44,Gokak Sub Division,3,4.0,1,1,3,1
45,Ramdurga Sub Division,3,4.0,1,1,3,1
46,Anekal Sub Division,3,32.0,1,1,4,1
47,Doddaballapura (D.B. Pura) Sub Division,3,32.0,1,1,4,1
48,Hosakote Sub Division,3,32.0,1,1,4,1
49,Nelamangala Sub Division,3,32.0,1,1,4,1
50,Bhalki Sub Division,3,1.0,1,1,6,1
51,Bidar Sub Division,3,1.0,1,1,6,1
52,Humnabad Sub Division,3,1.0,1,1,6,1
53,Chamarajanagar Sub Division,3,25.0,1,1,7,1
54,Kollegal Sub Division,3,25.0,1,1,7,1
55,Chikkaballapura Sub Division,3,29.0,1,1,8,1
56,Chintamani Sub Division,3,29.0,1,1,8,1
57,Chikkamagaluru Sub Division,3,36.0,1,1,9,1
58,Koppa Sub Division,3,36.0,1,1,9,1
59,Tarikere Sub Division,3,36.0,1,1,9,1
60,Challakere Sub Division,3,15.0,1,1,10,1
61,Chitradurga Sub Division,3,15.0,1,1,10,1
62,Hiriyur Sub Division,3,15.0,1,1,10,1
63,Bantwal Sub Division,3,19.0,1,1,11,1
64,Belthangady Sub Division,3,19.0,1,1,11,1
65,Puttur Sub Division,3,19.0,1,1,11,1
66,Channagiri Rural Sub Division,3,16.0,1,1,12,1
67,Davanagere City Sub Division,3,16.0,1,1,12,1
68,Davanagere Rural Sub Division,3,16.0,1,1,12,1
69,Dharwad Sub Division,3,9.0,1,1,13,1
70,Arasikere Sub Division,3,22.0,1,1,15,1
71,Hassan Sub Division,3,22.0,1,1,15,1
72,Holenarasipura Sub Division,3,22.0,1,1,15,1
73,Sakaleshapura Sub Division,3,22.0,1,1,15,1
74,Haveri Sub Division,3,12.0,1,1,16,1
75,Ranebennur Sub Division,3,12.0,1,1,16,1
76,Shiggaon Sub Division,3,12.0,1,1,16,1
77,KGF Sub Division,3,31.0,1,1,19,1
78,ACP North Sub-Division,3,35.0,1,1,17,1
79,ACP South Sub-Division,3,35.0,1,1,17,1
80,ACP Sub-Urban Sub-Division,3,35.0,1,1,17,1
81,ACP Traffic Sub-Division,3,35.0,1,1,17,1
82,Chincholi Sub-Division,3,34.0,1,1,17,1
83,Shahabad Sub-Division,3,34.0,1,1,17,1
84,Madikeri Sub Division,3,21.0,1,1,18,1
85,Somwarpet Sub Division,3,21.0,1,1,18,1
86,Virajpet Sub Division,3,21.0,1,1,18,1
87,Kolar Sub Division,3,30.0,1,1,19,1
88,Mulbagal Sub Division,3,30.0,1,1,19,1
89,Malavalli Sub Division,3,26.0,1,1,21,1
90,Mandya Sub Division,3,26.0,1,1,21,1
91,Nagamangala Sub Division,3,26.0,1,1,21,1
92,Srirangapatna Sub Division,3,26.0,1,1,21,1
93,Hunsur Sub Division,3,23.0,1,1,22,1
94,Mysuru Rural Sub Division,3,23.0,1,1,22,1
95,Nanjangud Sub Division,3,23.0,1,1,22,1
96,Gangavati Sub Division,3,7.0,1,1,23,1
97,Koppal Sub Division,3,7.0,1,1,23,1
98,Lingsugur Sub Division,3,7.0,1,1,23,1
99,Raichur Sub Division,3,7.0,1,1,23,1
100,Sindhanur Sub Division,3,7.0,1,1,23,1
101,Bhadravati Sub Division,3,17.0,1,1,25,1
102,Sagar Sub Division,3,17.0,1,1,25,1
103,Shikaripura Sub Division,3,17.0,1,1,25,1
104,Shivamogga A Sub Division,3,17.0,1,1,25,1
105,Shivamogga B Sub Division,3,17.0,1,1,25,1
106,Tirthahalli Sub Division,3,17.0,1,1,25,1
107,Kunigal Sub Division,3,27.0,1,1,26,1
108,Madhugiri Sub Division,3,27.0,1,1,26,1
109,Sira Sub Division,3,27.0,1,1,26,1
110,Tiptur Sub Division,3,27.0,1,1,26,1
111,Tumakuru Sub Division,3,27.0,1,1,26,1
112,Karkala Sub Division,3,18.0,1,1,27,1
113,Kundapura Sub Division,3,18.0,1,1,27,1
114,Udupi Sub Division,3,18.0,1,1,27,1
115,Bhatkal Sub Division,3,11.0,1,1,28,1
116,Dandeli Sub Division,3,11.0,1,1,28,1
117,Karwar Sub Division,3,11.0,1,1,28,1
118,Sirsi Sub Division,3,11.0,1,1,28,1
119,Harapanahalli Sub Division,3,13.0,1,1,29,1
120,Hosapete Sub Division,3,13.0,1,1,29,1
121,Kudligi Sub Division,3,13.0,1,1,29,1
122,Basavana Bagewadi Sub Division,3,2.0,1,1,30,1
123,Indi Sub Division,3,2.0,1,1,30,1
124,Vijayapura Rural Sub Division,3,2.0,1,1,30,1
125,Vijayapura Town Sub Division,3,2.0,1,1,30,1
126,ACP Belagavi Rural,4,5.0,1,1,3,1
127,ACP Crime,4,5.0,1,1,3,1
128,ACP KBPS,4,5.0,1,1,3,1
129,ACP Market,4,5.0,1,1,3,1
130,ACP Traffic,4,5.0,1,1,3,1
131,Gundlupet Circle,4,53.0,1,1,7,1
132,S.M. Halli Circle,4,53.0,1,1,7,1
133,Yelandur Circle,4,53.0,1,1,7,1
134,Kollegal Circle,4,54.0,1,1,7,1
135,Chelur Circle,4,55.0,1,1,8,1
136,Chikkaballapura Circle,4,55.0,1,1,8,1
137,Gowribidanur Circle,4,55.0,1,1,8,1
138,Gudibanda Circle,4,55.0,1,1,8,1
139,Kencharlahalli Circle,4,55.0,1,1,8,1
140,Shidlagatta Circle,4,55.0,1,1,8,1
141,Aldur Circle,4,57.0,1,1,9,1
142,Basavanahalli Circle,4,57.0,1,1,9,1
143,Mudigere Circle,4,57.0,1,1,9,1
144,Koppa Circle,4,58.0,1,1,9,1
145,Kudremukha Circle,4,58.0,1,1,9,1
146,Narasimharajapura Circle,4,58.0,1,1,9,1
147,Birur Circle,4,59.0,1,1,9,1
148,Kadur Circle,4,59.0,1,1,9,1
149,Tarikere Circle,4,59.0,1,1,9,1
150,Challakere Circle,4,60.0,1,1,10,1
151,Molakalmuru Circle,4,60.0,1,1,10,1
152,Chitradurga Rural Circle,4,61.0,1,1,10,1
153,Chitradurga Town Circle,4,61.0,1,1,10,1
154,Holalkere Circle,4,61.0,1,1,10,1
155,Hiriyur Circle,4,62.0,1,1,10,1
156,Hosadurga Circle,4,62.0,1,1,10,1
157,Channagiri Circle,4,66.0,1,1,12,1
158,Honnali Circle,4,66.0,1,1,12,1
159,North Circle,4,67.0,1,1,12,1
160,South Circle,4,67.0,1,1,12,1
161,Davanagere Rural Circle,4,68.0,1,1,12,1
162,Harihar Circle,4,68.0,1,1,12,1
163,Jagalur Circle,4,68.0,1,1,12,1
164,Dharwad Rural Circle,4,69.0,1,1,13,1
165,Navalgund Circle,4,69.0,1,1,13,1
166,Arasikere Rural Circle,4,70.0,1,1,15,1
167,Hassan City Circle,4,71.0,1,1,15,1
168,Hassan Rural Circle,4,71.0,1,1,15,1
169,Arakalgud Circle,4,72.0,1,1,15,1
170,Holenarasipura Circle,4,72.0,1,1,15,1
171,Belur Circle,4,73.0,1,1,15,1
172,Channarayapatna Circle,4,73.0,1,1,15,1
173,ACP Dharwad,4,10.0,1,1,13,1
174,ACP North,4,10.0,1,1,13,1
175,ACP South,4,10.0,1,1,13,1
176,ACP Traffic,4,10.0,1,1,13,1
177,Bethamangala Circle,4,77.0,1,1,19,1
178,Kamasamudram Circle,4,77.0,1,1,19,1
179,Oorgaum Circle,4,77.0,1,1,19,1
180,Robertsonpet Circle,4,77.0,1,1,19,1
181,Kalagi Circle,4,82.0,1,1,17,1
182,Rural Circle,4,82.0,1,1,17,1
183,Afzalpur Circle,4,83.0,1,1,17,1
184,Aland Circle,4,83.0,1,1,17,1
185,Chincholi / Sulepet Circle,4,83.0,1,1,17,1
186,Chittapur Circle,4,83.0,1,1,17,1
187,Jewargi Circle,4,83.0,1,1,17,1
188,Madikeri Rural Circle,4,84.0,1,1,18,1
189,Madikeri Town Circle,4,84.0,1,1,18,1
190,Kushalnagar Circle,4,85.0,1,1,18,1
191,Somwarpet Circle,4,85.0,1,1,18,1
192,Gonikoppal Circle,4,86.0,1,1,18,1
193,Kutta Circle,4,86.0,1,1,18,1
194,Virajpet Circle,4,86.0,1,1,18,1
195,Gulpet Circle,4,87.0,1,1,19,1
196,Gownipalli Circle,4,88.0,1,1,19,1
197,Mulbagal Circle,4,88.0,1,1,19,1
198,Halaguru Circle,4,89.0,1,1,21,1
199,Maddur Rural Circle,4,89.0,1,1,21,1
200,Malavalli Town Circle,4,89.0,1,1,21,1
201,Keragodu Circle,4,90.0,1,1,21,1
202,Mandya Town Circle,4,90.0,1,1,21,1
